 0.63 -1.90 -1.90  1.90  1.90
 0.63 -2.21 -1.59  1.59  2.21
 0.63 -2.52 -1.28  1.28  2.52
 0.63 -2.81 -0.99  0.99  2.81
 0.63 -3.08 -0.73  0.73  3.08
 0.63 -3.32 -0.49  0.49  3.32
 0.63 -3.52 -0.28  0.28  3.52
 0.63 -3.68 -0.12  0.12  3.68
 0.63 -3.80 -0.00  0.00  3.80
 0.63 -3.88 -0.07  0.07  3.88
 0.94 -3.78 -0.22  0.22  3.78
 0.94 -3.76 -0.19  0.19  3.76
 0.94 -3.68 -0.12  0.12  3.68
 0.94 -3.56 -0.00  0.00  3.56
 0.94 -3.40 -0.16  0.16  3.40
 0.94 -3.20 -0.37  0.37  3.20
 0.94 -2.96 -0.61  0.61  2.96
 0.94 -2.69 -0.87  0.87  2.69
 0.94 -2.40 -1.16  1.16  2.40
 0.94 -2.09 -1.47  1.47  2.09
 0.94 -1.78 -1.78  1.78  1.78
 0.94 -2.09 -1.47  1.47  2.09
 0.94 -2.40 -1.16  1.16  2.40
 0.94 -2.69 -0.87  0.87  2.69
 0.94 -2.96 -0.61  0.61  2.96
 0.94 -3.20 -0.37  0.37  3.20
 0.94 -3.40 -0.16  0.16  3.40
 0.94 -3.56 -0.00  0.00  3.56
 0.94 -3.68 -0.12  0.12  3.68
 0.94 -3.76 -0.19  0.19  3.76
 1.26 -3.62 -0.38  0.38  3.62
 1.26 -3.59 -0.36  0.36  3.59
 1.26 -3.52 -0.28  0.28  3.52
 1.26 -3.40 -0.16  0.16  3.40
 1.26 -3.24 -0.00  0.00  3.24
 1.26 -3.03 -0.20  0.20  3.03
 1.26 -2.79 -0.44  0.44  2.79
 1.26 -2.53 -0.71  0.71  2.53
 1.26 -2.24 -1.00  1.00  2.24
 1.26 -1.93 -1.31  1.31  1.93
 1.26 -1.62 -1.62  1.62  1.62
 1.26 -1.93 -1.31  1.31  1.93
 1.26 -2.24 -1.00  1.00  2.24
 1.26 -2.53 -0.71  0.71  2.53
 1.26 -2.79 -0.44  0.44  2.79
 1.26 -3.03 -0.20  0.20  3.03
 1.26 -3.24 -0.00  0.00  3.24
 1.26 -3.40 -0.16  0.16  3.40
 1.26 -3.52 -0.28  0.28  3.52
 1.26 -3.59 -0.36  0.36  3.59
 1.57 -3.41 -0.59  0.59  3.41
 1.57 -3.39 -0.56  0.56  3.39
 1.57 -3.32 -0.49  0.49  3.32
 1.57 -3.20 -0.37  0.37  3.20
 1.57 -3.03 -0.20  0.20  3.03
 1.57 -2.83 -0.00  0.00  2.83
 1.57 -2.59 -0.24  0.24  2.59
 1.57 -2.32 -0.51  0.51  2.32
 1.57 -2.03 -0.80  0.80  2.03
 1.57 -1.73 -1.10  1.10  1.73
 1.57 -1.41 -1.41  1.41  1.41
 1.57 -1.73 -1.10  1.10  1.73
 1.57 -2.03 -0.80  0.80  2.03
 1.57 -2.32 -0.51  0.51  2.32
 1.57 -2.59 -0.24  0.24  2.59
 1.57 -2.83 -0.00  0.00  2.83
 1.57 -3.03 -0.20  0.20  3.03
 1.57 -3.20 -0.37  0.37  3.20
 1.57 -3.32 -0.49  0.49  3.32
 1.57 -3.39 -0.56  0.56  3.39
 1.88 -3.18 -0.82  0.82  3.18
 1.88 -3.15 -0.80  0.80  3.15
 1.88 -3.08 -0.73  0.73  3.08
 1.88 -2.96 -0.61  0.61  2.96
 1.88 -2.79 -0.44  0.44  2.79
 1.88 -2.59 -0.24  0.24  2.59
 1.88 -2.35 -0.00  0.00  2.35
 1.88 -2.08 -0.27  0.27  2.08
 1.88 -1.79 -0.56  0.56  1.79
 1.88 -1.49 -0.86  0.86  1.49
 1.88 -1.18 -1.18  1.18  1.18
 1.88 -1.49 -0.86  0.86  1.49
 1.88 -1.79 -0.56  0.56  1.79
 1.88 -2.08 -0.27  0.27  2.08
 1.88 -2.35 -0.00  0.00  2.35
 1.88 -2.59 -0.24  0.24  2.59
 1.88 -2.79 -0.44  0.44  2.79
 1.88 -2.96 -0.61  0.61  2.96
 1.88 -3.08 -0.73  0.73  3.08
 1.88 -3.15 -0.80  0.80  3.15
 2.20 -2.91 -1.09  1.09  2.91
 2.20 -2.88 -1.07  1.07  2.88
 2.20 -2.81 -0.99  0.99  2.81
 2.20 -2.69 -0.87  0.87  2.69
 2.20 -2.53 -0.71  0.71  2.53
 2.20 -2.32 -0.51  0.51  2.32
 2.20 -2.08 -0.27  0.27  2.08
 2.20 -1.82 -0.00  0.00  1.82
 2.20 -1.53 -0.29  0.29  1.53
 2.20 -1.22 -0.60  0.60  1.22
 2.20 -0.91 -0.91  0.91  0.91
 2.20 -1.22 -0.60  0.60  1.22
 2.20 -1.53 -0.29  0.29  1.53
 2.20 -1.82 -0.00  0.00  1.82
 2.20 -2.08 -0.27  0.27  2.08
 2.20 -2.32 -0.51  0.51  2.32
 2.20 -2.53 -0.71  0.71  2.53
 2.20 -2.69 -0.87  0.87  2.69
 2.20 -2.81 -0.99  0.99  2.81
 2.20 -2.88 -1.07  1.07  2.88
 2.51 -2.62 -1.38  1.38  2.62
 2.51 -2.59 -1.36  1.36  2.59
 2.51 -2.52 -1.28  1.28  2.52
 2.51 -2.40 -1.16  1.16  2.40
 2.51 -2.24 -1.00  1.00  2.24
 2.51 -2.03 -0.80  0.80  2.03
 2.51 -1.79 -0.56  0.56  1.79
 2.51 -1.53 -0.29  0.29  1.53
 2.51 -1.24 -0.00  0.00  1.24
 2.51 -0.93 -0.31  0.31  0.93
 2.51 -0.62 -0.62  0.62  0.62
 2.51 -0.93 -0.31  0.31  0.93
 2.51 -1.24 -0.00  0.00  1.24
 2.51 -1.53 -0.29  0.29  1.53
 2.51 -1.79 -0.56  0.56  1.79
 2.51 -2.03 -0.80  0.80  2.03
 2.51 -2.24 -1.00  1.00  2.24
 2.51 -2.40 -1.16  1.16  2.40
 2.51 -2.52 -1.28  1.28  2.52
 2.51 -2.59 -1.36  1.36  2.59
 2.83 -2.31 -1.69  1.69  2.31
 2.83 -2.29 -1.66  1.66  2.29
 2.83 -2.21 -1.59  1.59  2.21
 2.83 -2.09 -1.47  1.47  2.09
 2.83 -1.93 -1.31  1.31  1.93
 2.83 -1.73 -1.10  1.10  1.73
 2.83 -1.49 -0.86  0.86  1.49
 2.83 -1.22 -0.60  0.60  1.22
 2.83 -0.93 -0.31  0.31  0.93
 2.83 -0.63 -0.00  0.00  0.63
 2.83 -0.31 -0.31  0.31  0.31
 2.83 -0.63 -0.00  0.00  0.63
 2.83 -0.93 -0.31  0.31  0.93
 2.83 -1.22 -0.60  0.60  1.22
 2.83 -1.49 -0.86  0.86  1.49
 2.83 -1.73 -1.10  1.10  1.73
 2.83 -1.93 -1.31  1.31  1.93
 2.83 -2.09 -1.47  1.47  2.09
 2.83 -2.21 -1.59  1.59  2.21
 2.83 -2.29 -1.66  1.66  2.29
 3.14 -2.00 -2.00  2.00  2.00
 3.14 -1.98 -1.98  1.98  1.98
 3.14 -1.90 -1.90  1.90  1.90
 3.14 -1.78 -1.78  1.78  1.78
 3.14 -1.62 -1.62  1.62  1.62
 3.14 -1.41 -1.41  1.41  1.41
 3.14 -1.18 -1.18  1.18  1.18
 3.14 -0.91 -0.91  0.91  0.91
 3.14 -0.62 -0.62  0.62  0.62
 3.14 -0.31 -0.31  0.31  0.31
 3.14 -0.00 -0.00  0.00  0.00
 3.14 -0.31 -0.31  0.31  0.31
 3.14 -0.62 -0.62  0.62  0.62
 3.14 -0.91 -0.91  0.91  0.91
 3.14 -1.18 -1.18  1.18  1.18
 3.14 -1.41 -1.41  1.41  1.41
 3.14 -1.62 -1.62  1.62  1.62
 3.14 -1.78 -1.78  1.78  1.78
 3.14 -1.90 -1.90  1.90  1.90
 3.14 -1.98 -1.98  1.98  1.98
 3.46 -2.31 -1.69  1.69  2.31
 3.46 -2.29 -1.66  1.66  2.29
 3.46 -2.21 -1.59  1.59  2.21
 3.46 -2.09 -1.47  1.47  2.09
 3.46 -1.93 -1.31  1.31  1.93
 3.46 -1.73 -1.10  1.10  1.73
 3.46 -1.49 -0.86  0.86  1.49
 3.46 -1.22 -0.60  0.60  1.22
 3.46 -0.93 -0.31  0.31  0.93
 3.46 -0.63 -0.00  0.00  0.63
 3.46 -0.31 -0.31  0.31  0.31
 3.46 -0.63 -0.00  0.00  0.63
 3.46 -0.93 -0.31  0.31  0.93
 3.46 -1.22 -0.60  0.60  1.22
 3.46 -1.49 -0.86  0.86  1.49
 3.46 -1.73 -1.10  1.10  1.73
 3.46 -1.93 -1.31  1.31  1.93
 3.46 -2.09 -1.47  1.47  2.09
 3.46 -2.21 -1.59  1.59  2.21
 3.46 -2.29 -1.66  1.66  2.29
 3.77 -2.62 -1.38  1.38  2.62
 3.77 -2.59 -1.36  1.36  2.59
 3.77 -2.52 -1.28  1.28  2.52
 3.77 -2.40 -1.16  1.16  2.40
 3.77 -2.24 -1.00  1.00  2.24
 3.77 -2.03 -0.80  0.80  2.03
 3.77 -1.79 -0.56  0.56  1.79
 3.77 -1.53 -0.29  0.29  1.53
 3.77 -1.24 -0.00  0.00  1.24
 3.77 -0.93 -0.31  0.31  0.93
 3.77 -0.62 -0.62  0.62  0.62
 3.77 -0.93 -0.31  0.31  0.93
 3.77 -1.24 -0.00  0.00  1.24
 3.77 -1.53 -0.29  0.29  1.53
 3.77 -1.79 -0.56  0.56  1.79
 3.77 -2.03 -0.80  0.80  2.03
 3.77 -2.24 -1.00  1.00  2.24
 3.77 -2.40 -1.16  1.16  2.40
 3.77 -2.52 -1.28  1.28  2.52
 3.77 -2.59 -1.36  1.36  2.59
 4.08 -2.91 -1.09  1.09  2.91
 4.08 -2.88 -1.07  1.07  2.88
 4.08 -2.81 -0.99  0.99  2.81
 4.08 -2.69 -0.87  0.87  2.69
 4.08 -2.53 -0.71  0.71  2.53
 4.08 -2.32 -0.51  0.51  2.32
 4.08 -2.08 -0.27  0.27  2.08
 4.08 -1.82 -0.00  0.00  1.82
 4.08 -1.53 -0.29  0.29  1.53
 4.08 -1.22 -0.60  0.60  1.22
 4.08 -0.91 -0.91  0.91  0.91
 4.08 -1.22 -0.60  0.60  1.22
 4.08 -1.53 -0.29  0.29  1.53
 4.08 -1.82 -0.00  0.00  1.82
 4.08 -2.08 -0.27  0.27  2.08
 4.08 -2.32 -0.51  0.51  2.32
 4.08 -2.53 -0.71  0.71  2.53
 4.08 -2.69 -0.87  0.87  2.69
 4.08 -2.81 -0.99  0.99  2.81
 4.08 -2.88 -1.07  1.07  2.88
 4.40 -3.18 -0.82  0.82  3.18
 4.40 -3.15 -0.80  0.80  3.15
 4.40 -3.08 -0.73  0.73  3.08
 4.40 -2.96 -0.61  0.61  2.96
 4.40 -2.79 -0.44  0.44  2.79
 4.40 -2.59 -0.24  0.24  2.59
 4.40 -2.35 -0.00  0.00  2.35
 4.40 -2.08 -0.27  0.27  2.08
 4.40 -1.79 -0.56  0.56  1.79
 4.40 -1.49 -0.86  0.86  1.49
 4.40 -1.18 -1.18  1.18  1.18
 4.40 -1.49 -0.86  0.86  1.49
 4.40 -1.79 -0.56  0.56  1.79
 4.40 -2.08 -0.27  0.27  2.08
 4.40 -2.35 -0.00  0.00  2.35
 4.40 -2.59 -0.24  0.24  2.59
 4.40 -2.79 -0.44  0.44  2.79
 4.40 -2.96 -0.61  0.61  2.96
 4.40 -3.08 -0.73  0.73  3.08
 4.40 -3.15 -0.80  0.80  3.15
 4.71 -3.41 -0.59  0.59  3.41
 4.71 -3.39 -0.56  0.56  3.39
 4.71 -3.32 -0.49  0.49  3.32
 4.71 -3.20 -0.37  0.37  3.20
 4.71 -3.03 -0.20  0.20  3.03
 4.71 -2.83 -0.00  0.00  2.83
 4.71 -2.59 -0.24  0.24  2.59
 4.71 -2.32 -0.51  0.51  2.32
 4.71 -2.03 -0.80  0.80  2.03
 4.71 -1.73 -1.10  1.10  1.73
 4.71 -1.41 -1.41  1.41  1.41
 4.71 -1.73 -1.10  1.10  1.73
 4.71 -2.03 -0.80  0.80  2.03
 4.71 -2.32 -0.51  0.51  2.32
 4.71 -2.59 -0.24  0.24  2.59
 4.71 -2.83 -0.00  0.00  2.83
 4.71 -3.03 -0.20  0.20  3.03
 4.71 -3.20 -0.37  0.37  3.20
 4.71 -3.32 -0.49  0.49  3.32
 4.71 -3.39 -0.56  0.56  3.39
 5.03 -3.62 -0.38  0.38  3.62
 5.03 -3.59 -0.36  0.36  3.59
 5.03 -3.52 -0.28  0.28  3.52
 5.03 -3.40 -0.16  0.16  3.40
 5.03 -3.24 -0.00  0.00  3.24
 5.03 -3.03 -0.20  0.20  3.03
 5.03 -2.79 -0.44  0.44  2.79
 5.03 -2.53 -0.71  0.71  2.53
 5.03 -2.24 -1.00  1.00  2.24
 5.03 -1.93 -1.31  1.31  1.93
 5.03 -1.62 -1.62  1.62  1.62
 5.03 -1.93 -1.31  1.31  1.93
 5.03 -2.24 -1.00  1.00  2.24
 5.03 -2.53 -0.71  0.71  2.53
 5.03 -2.79 -0.44  0.44  2.79
 5.03 -3.03 -0.20  0.20  3.03
 5.03 -3.24 -0.00  0.00  3.24
 5.03 -3.40 -0.16  0.16  3.40
 5.03 -3.52 -0.28  0.28  3.52
 5.03 -3.59 -0.36  0.36  3.59
 5.34 -3.78 -0.22  0.22  3.78
 5.34 -3.76 -0.19  0.19  3.76
 5.34 -3.68 -0.12  0.12  3.68
 5.34 -3.56 -0.00  0.00  3.56
 5.34 -3.40 -0.16  0.16  3.40
 5.34 -3.20 -0.37  0.37  3.20
 5.34 -2.96 -0.61  0.61  2.96
 5.34 -2.69 -0.87  0.87  2.69
 5.34 -2.40 -1.16  1.16  2.40
 5.34 -2.09 -1.47  1.47  2.09
 5.34 -1.78 -1.78  1.78  1.78
 5.34 -2.09 -1.47  1.47  2.09
 5.34 -2.40 -1.16  1.16  2.40
 5.34 -2.69 -0.87  0.87  2.69
 5.34 -2.96 -0.61  0.61  2.96
 5.34 -3.20 -0.37  0.37  3.20
 5.34 -3.40 -0.16  0.16  3.40
 5.34 -3.56 -0.00  0.00  3.56
 5.34 -3.68 -0.12  0.12  3.68
 5.34 -3.76 -0.19  0.19  3.76
 5.65 -3.90 -0.10  0.10  3.90
 5.65 -3.88 -0.07  0.07  3.88
 5.65 -3.80 -0.00  0.00  3.80
 5.65 -3.68 -0.12  0.12  3.68
 5.65 -3.52 -0.28  0.28  3.52
 5.65 -3.32 -0.49  0.49  3.32
 5.65 -3.08 -0.73  0.73  3.08
 5.65 -2.81 -0.99  0.99  2.81
 5.65 -2.52 -1.28  1.28  2.52
 5.65 -2.21 -1.59  1.59  2.21
 5.65 -1.90 -1.90  1.90  1.90
 5.65 -2.21 -1.59  1.59  2.21
 5.65 -2.52 -1.28  1.28  2.52
 5.65 -2.81 -0.99  0.99  2.81
 5.65 -3.08 -0.73  0.73  3.08
 5.65 -3.32 -0.49  0.49  3.32
 5.65 -3.52 -0.28  0.28  3.52
 5.65 -3.68 -0.12  0.12  3.68
 5.65 -3.80 -0.00  0.00  3.80
 5.65 -3.88 -0.07  0.07  3.88
 5.97 -3.98 -0.02  0.02  3.98
 5.97 -3.95 -0.00  0.00  3.95
 5.97 -3.88 -0.07  0.07  3.88
 5.97 -3.76 -0.19  0.19  3.76
 5.97 -3.59 -0.36  0.36  3.59
 5.97 -3.39 -0.56  0.56  3.39
 5.97 -3.15 -0.80  0.80  3.15
 5.97 -2.88 -1.07  1.07  2.88
 5.97 -2.59 -1.36  1.36  2.59
 5.97 -2.29 -1.66  1.66  2.29
 5.97 -1.98 -1.98  1.98  1.98
 5.97 -2.29 -1.66  1.66  2.29
 5.97 -2.59 -1.36  1.36  2.59
 5.97 -2.88 -1.07  1.07  2.88
 5.97 -3.15 -0.80  0.80  3.15
 5.97 -3.39 -0.56  0.56  3.39
 5.97 -3.59 -0.36  0.36  3.59
 5.97 -3.76 -0.19  0.19  3.76
 5.97 -3.88 -0.07  0.07  3.88
 5.97 -3.95 -0.00  0.00  3.95
